scrapping_date,review_author,review_title,one_reviews_text,review_date,review_rating,review_helpful,review_feedback
2022-05-27 22:22:30.235347,calforb,Great experience,"Fantastic to see this move from app lab to official store.

There are some fantastic experiences in this app to help with all varieties of mind. 

My personal favourite is the Awe section. I’m really hoping more content comes along for this because it’s a wonder to experience. 

Great work and looking forward to seeing what develops now the app is in the official store!",Apr 8 at 6:06 AM,4, 92,"Hey @calforb, 
Great to hear you're enjoying Liminal! We plan on releasing new experiences within the coming weeks. Stay tuned!"
2022-05-27 22:22:32.274981,EtherealDave,Liminal Is Unlike Anything Else,"I used Liminal for the first time last week and I was really impressed with the app overall. There is nothing else quite like it, and the variety of their offerings range from extremely meditative, to blissfully fun.

Personally, I like that they ask for a ""reading"" of your mood prior and post experience. I think that this is important information to collect in order to create and curate the best content possible.

I'll be coming back frequently to this app, and I look forward to seeing how it evolves over time!",Apr 17 at 12:50 AM,5, 25,Hey EtherealDave! Thanks for your feedback! We are always excited to hear how Liminal has helped users improve their mood and mindset. Make sure to come back each week to explore new experiences!
2022-05-27 22:22:34.365834,skippy-01,Worth checking out,"Had some issues in the beginning, but support team was able to resolve my problems.  They responded pretty quick and stayed in contact with me until the problem was resolved.  The app itself seems pretty well thought out. It has lab activities plus stuff for meditation.  Worth giving it a try.  It's definitely relaxing.",Apr 9 at 9:35 AM,4, 24,"Hi skippy-01

Due to an influx of users trying to connect to Liminal, we had a brief server outage, hence why you may have experienced some technical issues on your end. Our tech team have resolved the issue. We’d love for you to try the app again and reassess your review.  

We sincerely apologise for any inconvenience! 

Can I grab your username and/or email you made the account with so we can give you some bonus credits?

Please reach out if you experience further issues by emailing support@liminalvr.com or replying to this message."
2022-05-27 22:22:36.416663,LikeBooms,Revised review and rating,"So originally I had an issue connecting to the servers when I initially downloaded it. But devs were quick to act and address my issue. They informed me that a high volume of users trying to access the network was likely the culprit. So I kept it around, as I said I would and days later was able to play. The experience itself was stimulating, tantalizing even at times. Some of the lab content seemed grueling to me, to be honest. But the energizing experiences did indeed get me a little hype, especially the ones involving speed. Overall I think it's a decent app, you can tell that much thought goes into the experiences. Keep up the good work devs and thank you for your speedy response.",Apr 12 at 9:19 PM,4, 21,"Hi LikeBooms

Due to an influx of users trying to connect to Liminal, we had a brief server outage, hence why you may have experienced some technical issues on your end. Our tech team have resolved the issue. We’d love for you to try the app again and reassess your review.  

We sincerely apologise for any inconvenience! 

Can I grab your username and/or email you made the account with so we can give you some bonus credits?

Please reach out if you experience further issues by emailing support@liminalvr.com or replying to this message."
2022-05-27 22:22:38.469315,Canceledhusky688,Great but I want my body,This app is great it helps me feel more calm and really does what it says but my one complaint is I want an avatar in it because it’s distracting and disconcerting when I look down at my self and see nothing. One more minor complaint is in the room of rain or whatever it’s called there are cups of coffe or hot Chocolate but you can’t pick them up but for me having the ability to pick it up would an addition to the over all feelings of calm,Apr 18 at 1:31 PM,3, 13,"Thanks for your feedback! And we enjoyed reading your suggestions. As new experiences are released every week, we recommend you come back and try Liminal in the future!"
2022-05-27 22:22:42.677870,NarutoUzumaki2022,Best experience ever had in VR,"I recommend this to anyone who suffers from stress,anxiety, panic attacks the experiences in this are amazing and so calming my favorite is the garden I could physically sit down and just look at the flowers and listen to the birds singing I wasn't even in there for the whole 4 minutes before I felt so calm and relaxed I highly recommend to EVERYONE.",Apr 26 at 7:54 AM,5, 6,"Wow thanks for your feedback!!! We are so happy you have found the calming experiences to ease stress and panic attacks. Drawing on research in the fields of neuroscience and psychology, the Liminal Platform aims to empower people to choose how they'd like to feel and perform. Living with anxiety can be crippling so we hope you continue exploring more new experiences on Liminal and let us know what you think!"
2022-05-27 22:22:44.723970,gwensparkle,An enjoyable range of experiences!,"Update:  There is now an updated version with a few changes.  There are now 4 categories (3 mood + lab).  The experiences don't change quite as often as I thought, but the ones that are there are well worth revisiting.  Neither change would cause me to revise my rating.

Original:  This is more than just a daily meditation app. Each time you log in, you have a choice of five mood categories, each with the choice of several experiences. Each experience is unique, more so because they are developed by a variety of different developers. You might be relaxing in a spa tub looking out on a gentle rain, or blasting off to escape Earth's gravity, or trekking around desert sands, or anything else a developer can imagine.

All the experiences have the goal to modify or enhance your mood and many of the individual experiences do that quite successfully. The app is free and in exchange you are helping mood research by rating your before and after moods to help gauge the effect of each experience on individuals. I've found a side benefit has been to help me be more aware of my own moods and how I can change them.

The selection of available experiences changes every several days. One nice feature is that you are able to save your favorites and keep them available. The app is great to access for a short break as most of the experiences are two to five minutes. Some of the relaxation experiences also give you a choice for a longer period of time.

Liminal is an experience that I can easily recommend!",Apr 12 at 12:01 AM,5, 11,Hey gwensparkle! We are glad to hear you are enjoying your experience on the Liminal Platform so far. It's also awesome to hear that you've found the platform to help you personally with being aware of your mood and how you can alter it.
2022-05-27 22:22:46.761455,Kristin525,Excellent customer service,"UPDATED REVIEW: I wrote the review below and then reached out to the developers about the technical difficulties I was experiencing. They were super helpful and not only solved the problem, but also gave me free credits to compensate for the temporary difficulty. 

ORIGINAL REVIEW: I really enjoy this app and use it primarily to meditate. I love that each week there are different experiences to try. I would give it five stars except for two things: first, there aren't a lot of ways to earn credits to ""favorite"" an experience and not lose access to it after a week; and second, the experiences I unlocked for 28 days are now locked again even though it's only been a week (I assume this is a glitch). I would gladly pay for credits, but that isn't an option at the moment.",Apr 29 at 2:23 PM,5, 5,"Hi Kristin525 thanks for your feedback! Just wanting to double checking if you are referring to the free rotation of experiences that unlock each week? 

If you are still unsure about this, feel free to contact support@liminalvr.com and we can assist you further."
2022-05-27 22:22:48.846695,Waterfall,Calming,I have used this periodically since I downloaded from App Lab last summer. I have to say I LOVE the Calm section- Specifically Spa and Primal Rain. Those two alone are worth it to me as i found them incredibly relaxing and help me decompress!,Apr 8 at 1:20 PM,5, 14,"Hey gschizzy2021, so glad to hear you are enjoying your time on Liminal! Stay tuned for more calming experiences coming to the platform over the next few weeks. You can follow @liminalvr across socials to find out when they are released!"
2022-05-27 22:22:50.882903,Mark-Bliss,Not impressed,"I was hoping for a game like TRIPP, sadly it was weak in comparison. If it had a one time fee I made have tried it longer but I’m not going to have a monthly subscription when I can go into Tripp and get a better experience. What little I saw was weak and monotonous.",Apr 11 at 8:37 AM,2, 6,"Sorry to hear you didn't enjoy the app this time around. The app is currently completely free, and the experiences on Liminal unlock on a weekly rotation. This allows you to experience a wide variety of free content and keep things fresh each time you use the app. Hopefully you can give the platform another shot and try out some of the unique experiences!"
